Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
00:04:00,56.2 °F,51.3 °F,84 %,,4.4 mph,10.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:09:00,56.3 °F,51.3 °F,83 %,NNW,2.5 mph,11.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:14:00,56.3 °F,51.3 °F,83 %,NNW,4.1 mph,11.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:19:00,56.4 °F,51.3 °F,83 %,,3.1 mph,11.8 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:24:00,56.5 °F,51.2 °F,82 %,NNW,2.5 mph,8.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:29:00,56.6 °F,51.2 °F,82 %,NW,3.2 mph,8.8 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:34:00,56.7 °F,51.3 °F,82 %,North,4.0 mph,9.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:39:00,56.6 °F,51.5 °F,83 %,NW,1.9 mph,7.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:44:00,56.5 °F,51.4 °F,83 %,NNW,3.0 mph,9.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:49:00,56.5 °F,51.4 °F,83 %,,3.1 mph,8.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:54:00,56.5 °F,51.2 °F,82 %,NNW,3.7 mph,9.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
00:59:00,56.5 °F,51.1 °F,82 %,NW,4.3 mph,11.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:04:00,56.6 °F,51.1 °F,82 %,NNW,2.2 mph,7.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:09:00,56.6 °F,50.8 °F,81 %,,3.6 mph,9.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:14:00,56.7 °F,50.9 °F,81 %,North,2.5 mph,8.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:19:00,56.6 °F,50.6 °F,80 %,WNW,3.5 mph,14.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:24:00,56.5 °F,50.7 °F,81 %,,3.9 mph,9.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:29:00,56.4 °F,50.6 °F,81 %,NNW,3.7 mph,9.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:34:00,56.2 °F,50.2 °F,80 %,NNW,4.6 mph,9.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:39:00,56.1 °F,49.8 °F,80 %,NNW,3.4 mph,8.1 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:44:00,56.1 °F,49.6 °F,79 %,NW,4.3 mph,8.4 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:49:00,56.1 °F,49.5 °F,78 %,WNW,6.3 mph,13.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:54:00,56.1 °F,49.5 °F,78 %,West,4.9 mph,11.6 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
01:59:00,55.9 °F,49.3 °F,78 %,NNW,4.7 mph,12.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
02:04:00,55.9 °F,49.3 °F,78 %,NNW,4.9 mph,12.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
02:09:00,55.8 °F,49.1 °F,78 %,WSW,4.2 mph,13.7 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:14:00,55.8 °F,49.1 °F,78 %,NNW,4.1 mph,11.2 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:19:00,55.6 °F,49.0 °F,79 %,North,2.4 mph,9.5 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:24:00,55.4 °F,48.9 °F,78 %,NNW,5.1 mph,13.7 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:29:00,55.4 °F,48.9 °F,79 %,,2.4 mph,7.5 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:34:00,55.3 °F,48.9 °F,79 %,WNW,3.9 mph,10.7 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:39:00,55.4 °F,48.9 °F,79 %,NE,2.8 mph,9.9 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:44:00,55.4 °F,48.7 °F,78 %,NNE,4.6 mph,15.5 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:49:00,55.4 °F,48.9 °F,78 %,WSW,3.2 mph,9.5 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
02:54:00,55.4 °F,48.8 °F,78 %,NNW,4.9 mph,12.9 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
02:59:00,55.5 °F,48.8 °F,78 %,,4.7 mph,13.5 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:04:00,55.4 °F,48.9 °F,79 %,NNW,3.2 mph,11.3 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
03:09:00,55.4 °F,49.0 °F,79 %,SSW,3.1 mph,9.9 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:14:00,55.4 °F,49.1 °F,79 %,North,4.5 mph,13.9 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:19:00,55.4 °F,49.1 °F,79 %,NNW,3.4 mph,9.3 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:24:00,55.3 °F,49.2 °F,80 %,WNW,4.5 mph,12.3 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:29:00,55.1 °F,49.0 °F,80 %,NNW,3.1 mph,10.1 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
03:34:00,55.0 °F,48.9 °F,80 %,NNW,3.9 mph,9.5 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
03:39:00,55.0 °F,48.8 °F,80 %,NNW,4.2 mph,11.4 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:44:00,55.1 °F,48.8 °F,79 %,North,2.8 mph,9.9 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
03:49:00,55.0 °F,48.7 °F,79 %,NW,2.4 mph,9.1 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
03:54:00,55.0 °F,48.7 °F,79 %,NW,3.3 mph,10.1 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
03:59:00,55.2 °F,48.9 °F,79 %,SE,3.3 mph,8.3 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:04:00,55.0 °F,48.7 °F,79 %,NW,3.4 mph,11.3 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:09:00,55.2 °F,48.9 °F,79 %,NW,3.5 mph,11.6 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:14:00,55.2 °F,48.9 °F,79 %,NE,5.7 mph,16.2 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:19:00,55.2 °F,48.9 °F,79 %,,4.5 mph,12.8 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:24:00,55.2 °F,48.9 °F,79 %,NW,3.1 mph,9.3 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:29:00,55.0 °F,48.8 °F,79 %,East,3.1 mph,8.4 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:34:00,55.0 °F,48.9 °F,80 %,NNW,3.4 mph,9.1 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:39:00,55.0 °F,48.7 °F,79 %,WNW,4.7 mph,11.7 mph,29.77 in,0.00 in,0.19 in,0.0,0 w/m²
04:44:00,55.0 °F,48.8 °F,79 %,SW,3.2 mph,11.7 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
04:49:00,55.0 °F,48.8 °F,79 %,,3.9 mph,11.7 mph,29.76 in,0.00 in,0.19 in,0.0,0 w/m²
